作者,看板,標題,日期,內容
hsiaoyuan510 (鱈浮),fruits,[廣宣]  冬季限定酪梨 週末採收出貨,Fri Nov 17 09:37:56 2023,"\  秋可酪梨  / Choquette 

來自於台南大內！
是台灣孕育酪梨的搖籃，屬低海拔山坡地，豐沛水源蜿蜒的曾文系水源孕育。
草生栽培。

晚生種「秋可」品種，冬季酪梨限定
開花時間長，酪梨濃郁，富含豐富營養及油脂含量！

周末（11/20）會唯一採收採收
產地直接寄出~
因為今年雨水少
秋可酪梨產量較少；品質保證！
售完為止。


https://i.imgur.com/dYN5nig.jpg

https://i.imgur.com/q0jSWr1.jpg

10斤(8-12顆)    $1100
5斤(4-6顆)       $550
3斤(2-3顆)       $330
以上已含運費


購買資訊
直就
加入官方Line
留下訂購人資料

https://lin.ee/Tw2fDns


"
ilen (.....),fruits,[廣宣] 頂上農園-東勢椪柑季來囉~,Mon Nov 27 14:14:51 2023,"

 又到了吃橘子的季節了  我們秉持專業種植安心健康的原則 希望讓更多人用合理的價格
品嘗跟認識我們自產的優質水果

https://imgur.com/a/EmXGdbo
https://imgur.com/a/nhYJV7N
https://imgur.com/a/ZRQGzvv
https://imgur.com/a/UDsmXCS



目前我們先開始椪柑的訂購   售價是每盒6～7斤$400元不含運 （運費$120元）滿8箱免
運   貨到付款可

由於過去幾年老客戶對我們品質的信心。今年可接受預訂的盒數不多   有興趣的朋友麻
煩盡快與我們連絡

電話：0925-637537   東勢優質果園

感謝大家


"
amoment (like this),fruits,[廣宣] 台東自產大目釋迦,Wed Nov 29 14:22:05 2023,"今年受海葵颱風影響，釋迦又少又醜，經過了近3個月，果園及果樹已逐漸修復，品質終於穩定囉！
愛吃釋迦的鄉民朋友們，快點來信訂購唷！

大目釋迦 中果 10-11顆 $750（含運）
https://i.imgur.com/ZnNobPe.jpg

大目釋迦 小果 12顆 $600（含運）

https://i.imgur.com/ClQ4WW3.jpg

#以上若是兩箱同址寄送可折100。

"
halloween00 (貓耳朵),fruits,[廣宣] 雲林古坑茂谷柑,Thu Dec 21 08:56:00 2023,"過年送禮自用兩相宜的茂谷柑開始預購啦！
雲林古坑小農自產自銷
酸甜多汁 品質有保證
喜歡茂谷柑的你千萬別錯過！

一律10斤裝
免運費

21號 350
23號 400
25號 500
27號 700
NG果 300 (外表較粗糙 口味不影響)

匯款後安排出貨
！1月中旬出貨 欲購從速！

歡迎站內信

https://i.imgur.com/f5eMP4y.jpg
https://i.imgur.com/SuAtbou.jpg

"
candy830624 (Candy),fruits,[廣宣] 苗栗雪兔白草莓,Sun Dec 31 02:19:15 2023,"
冬季草莓開賣囉

產地在苗栗公館山上
品種為雪兔白草莓
新鮮採摘產地直送
與無毒農合作安心檢驗
全程無毒栽種
口感香甜微酸 帶點牛奶香氣

一盒600元
一盒約280-300克重
一盒12-24顆（一盒可能12顆或15顆，以此類推）

宅配可填寫表單：https://pse.is/5hcmlt
新竹地區、苗栗地區 可面交

想購買可以私訊
來嚐嚐冬天的第一顆草莓吧～～

https://i.imgur.com/SdKgKF3.jpg

https://i.imgur.com/v1EHJ9b.jpg

https://i.imgur.com/R9AaY7Q.jpg

https://i.imgur.com/hIVYieP.jpg
"
kutrain (出發進行!),fruits,[公告] 本板不歡迎來自商業網站廣告,Tue Aug  2 14:34:29 2011,"本板不歡迎來自商業網站廣告
若在此刊登板主將逕行刪除並裂退

"
BH115V (廚房滿街跑),fruits,Re: [發問] 山竹,Wed Oct 26 18:19:18 2011,"※ 引述《AH980305 (kenken)》之銘言：
: 請問
: 現在還有水果行
: 再賣山竹嗎?
有呀  大潤發有賣  廈門店就有看到
換算一台斤160元左右
: 小時候 家人買過  現在長大 想要吃
: 都找不到也不知道他的產期是何時???
: 好懷念他的味道喔~~~!!
根據google查到的結果產季在四五月

我也好懷念他的味道喔~~~!!

"
weichia (☯),fruits,[公告] 發文制限,Sun Nov 27 07:31:51 2011,"
近來浮濫衝文章數日益嚴重，內容空洞占用資源。故本版即日起設定發文與推文門檻

如後，俟組務核准後生效，感謝大家配合。


文章篇數：30 篇

劣文數量：1

登入次數：50 次以上

"
hsiaoyuan510 (鱈浮),fruits,[廣宣] 文旦/紅柚 禮盒訂購，享優惠享免運,Sun Jul 30 23:37:29 2023,"【2023萩荍文旦．紅柚預購開跑】

歷經一年的呵護及等待，各位是否懷念那酸甜的滋味

預購優惠期:7/30~8/18
凡訂購10斤裝文旦或紅柚
每箱折$50並免運宅配至您家

【萩荍品項】
◆文旦10斤裝
優等果 (10-11顆)  $700

惜福果(8-14顆)     $430 *果皮不美觀，果肉依然美味


◆紅柚10斤裝
優等果(7-9顆)       $700

※以上價格已折價$50

【萩荍特色】：提供全區果樹酵素補給，文旦吃起來酸甜風味濃郁，以及採用天然草生栽
培，賦予果樹有機營養，並賦予悠然乾淨的環境。



歡迎各大公司送禮或團媽大量訂購，價錢可供報價單商討
謝謝




@ 一鍵加入萩荍官方line，馬上服務您

https://lin.ee/Bu1bSlw7
https://i.imgur.com/uxWKcBN.jpg

https://i.imgur.com/OGPvZSy.jpg

https://i.imgur.com/LkQhBWm.jpg

https://i.imgur.com/oR9qlVr.jpg

"
SzuChien (台灣籃球之神阿三),fruits,[廣宣] 麻豆林家小荳子優質老欉文旦預購開始,Tue Aug  1 10:25:35 2023,"
文旦預購直接填：　https://forms.gle/uTrXN4iXMh6as5jAA

林家小荳子文旦產地在台南市麻豆區總爺附近，平均樹齡約50年左右，

文旦園平時皆以人工拔除雜草，從來不用除草劑，肥料則使用有機肥，

擁有吉園圃標章，代表不隨意噴灑過多農藥，農藥殘留量亦符合標準，

也由於老人家辛勤的照料，樹齡雖老但依然生氣蓬勃，

老欉文旦可耐久放，消水後更好吃。



今年持續使用彩盒裝，加值不加價，自用送禮兩相宜。



在價格方面有微調，皆為10斤裝(約12顆左右)

主要使用""大榮貨運""寄送每箱含運NT　７３０　元，

寄往同住址的單筆訂單三箱以上(含三箱)每箱優惠　７００　元，



另提供""黑貓宅急便""寄送，本島寄送價格為每箱　８００　元，



離島一律以郵局寄送，不論數量每箱含運價格 ７８０ 元。



無夜間寄送，只有黑貓提供協助搬上樓服務



歡迎想要購買或進一步了解的人直接前往我們的粉絲團

林家小荳子文旦  https://www.facebook.com/madoupomelolin

或可直接在文件填單訂購(內有訂購細節)

https://forms.gle/uTrXN4iXMh6as5jAA

謝謝



"
