類別,名稱,公私立,縣市,鄉鎮市區,地址,經度,緯度,聯絡電話,管轄所屬
骨灰(骸)存放設施,永念庭生命典藏館,私立,基隆市,暖暖區,興隆街14之15號,,,2459-1122,基隆市
骨灰(骸)存放設施,欣欣金陵寶塔,私立,基隆市,七堵區,大華三路45之10號,,,02-27029393,基隆市
骨灰(骸)存放設施,台北聖城,私立,基隆市,信義區,深澳坑路340之7號,121.7912155,25.1237295,02-24661234,基隆市
骨灰(骸)存放設施,基隆金寶塔,私立,基隆市,仁愛區,南榮路463巷22弄6之1號,121.743623,25.115031,02-24291199,基隆市
骨灰(骸)存放設施,基隆市立殯葬管理所-納骨塔,公立,基隆市,仁愛區,南榮路509巷2號,121.7408520,25.1126850,02-24282116,基隆市
火化場,基隆市立殯葬管理所-火化場,公立,基隆市,仁愛區,南榮路509巷15號,121.7423560,25.1269780,02-24285216,基隆市
公墓,北基花園墓園,私立,基隆市,七堵區,大同街1之1號,121.6972740,25.1165170,02-24565885,基隆市
公墓,欣欣安樂園,私立,基隆市,七堵區,大華三路45之10號,121.6747911,25.127183,02-24551833,基隆市
公墓,台北聖城,私立,基隆市,信義區,深澳坑路340之7號,121.7912155,25.1237295,02-24661234,基隆市
公墓,未來世界藝術墓園,私立,基隆市,信義區,六和街6號,121.76015370000004,25.1124206,02-7747-5555,基隆市
公墓,基隆市立南榮公墓,公立,基隆市,仁愛區,南榮路509巷2號,121.740852,25.112685,02-24282116,基隆市
殯儀館,基隆市立殯葬管理所-殯儀館,公立,基隆市,仁愛區,南榮路路509巷2號,121.740852,25.112685,02-24282116,基隆市
公墓,淡水區第一公園化公墓,公立,新北市,淡水區,草埔尾段北勢子小段128、128-1等,121.4702950,25.2515650,(02)2622-1020分機7610,新北市                 
公墓,八里區第一公墓,公立,新北市,八里區,下罟村下罟子段下罟子小段422地號,121.4014870,25.1494960,(02)2610-2621分機115,新北市                 
公墓,五股區第一公墓,公立,新北市,五股區,成子寮段獅子頭小段7號等；北勢坑小段346-0~2等,121.4542682,25.1105172,(02)2291-6051分機218,新北市                 
公墓,新莊區第一公墓,公立,新北市,新莊區,中山段737等、十八份坑段十八份坑小段1之1等,121.4284756,25.0211328,(02)2992-9891分機293,新北市                 
公墓,泰山區第一公墓,公立,新北市,泰山區,黎明段168等地號,121.4170460,25.0556656,(02)2909-9551分機1306,新北市                 
公墓,鶯歌區第一公墓(含示範公墓),公立,新北市,鶯歌區,鶯歌段牛灶坑小段55之4等、阿南坑段阿四坑小段61之2等地號,121.3543410,24.9559710,(02)2678-0202分機254,新北市                 
公墓,土城區第九公墓,公立,新北市,土城區,忠義段547等地號,121.4408140,24.9663350,(02)2273-2000分機555,新北市                 
