index,answer
index_0,18
index_1,25
index_2,16
index_3,19
index_4,30
index_5,29
index_6,17
index_7,22
index_8,37
index_9,12
index_10,28
index_11,25
index_12,31
index_13,24
index_14,16
index_15,41
index_16,35
index_17,8
index_18,12
index_19,18
index_20,24
index_21,9
index_22,5
index_23,15
index_24,21
index_25,24
index_26,16
index_27,35
index_28,25
index_29,19
index_30,10
index_31,14
index_32,29
index_33,7
index_34,7
index_35,11
index_36,11
index_37,19
index_38,13
index_39,6
index_40,15
index_41,9
index_42,11
index_43,10
index_44,12
index_45,11
index_46,7
index_47,5
index_48,5
index_49,8
index_50,2
index_51,3
index_52,5
index_53,5
index_54,8
index_55,4
index_56,5
index_57,2
index_58,7
index_59,11
index_60,12
index_61,7
index_62,9
index_63,3
index_64,8
index_65,13
index_66,6
index_67,13
index_68,10
index_69,5
index_70,5
index_71,13
index_72,16
index_73,8
index_74,9
index_75,6
index_76,9
index_77,11
index_78,17
index_79,24
index_80,31
index_81,21
index_82,20
index_83,14
index_84,14
index_85,8
index_86,8
index_87,14
index_88,13
index_89,9
index_90,18
index_91,17
index_92,8
index_93,5
index_94,14
index_95,5
index_96,11
index_97,5
index_98,9
index_99,11
index_100,13
index_101,11
index_102,12
index_103,18
index_104,11
index_105,16
index_106,14
index_107,11
index_108,8
index_109,14
index_110,5
index_111,9
index_112,8
index_113,32
index_114,6
index_115,18
index_116,18
index_117,16
index_118,6
index_119,11
index_120,8
index_121,19
index_122,27
index_123,19
index_124,43
index_125,15
index_126,12
index_127,20
index_128,34
index_129,14
index_130,13
index_131,15
index_132,13
index_133,27
index_134,38
index_135,45
index_136,19
index_137,16
index_138,23
index_139,38
index_140,10
index_141,11
index_142,25
index_143,35
index_144,15
index_145,23
index_146,14
index_147,30
index_148,22
index_149,33
index_150,41
index_151,19
index_152,29
index_153,13
index_154,3
index_155,15
index_156,8
index_157,11
index_158,7
index_159,14
index_160,17
index_161,4
index_162,10
index_163,24
index_164,9
index_165,10
index_166,13
index_167,9
index_168,6
index_169,8
index_170,5
index_171,6
index_172,2
index_173,3
index_174,6
index_175,4
index_176,11
index_177,8
index_178,9
index_179,3
index_180,8
index_181,6
index_182,6
index_183,2
index_184,5
index_185,7
index_186,9
index_187,14
index_188,12
index_189,13
index_190,18
index_191,11
index_192,7
index_193,7
index_194,11
index_195,10
index_196,10
index_197,8
index_198,13
index_199,19
index_200,12
index_201,18
index_202,13
index_203,20
index_204,35
index_205,7
index_206,23
index_207,9
index_208,14
index_209,9
index_210,7
index_211,18
index_212,23
index_213,25
index_214,1
index_215,8
index_216,7
index_217,8
index_218,9
index_219,12
index_220,15
index_221,13
index_222,14
index_223,10
index_224,19
index_225,20
index_226,16
index_227,11
index_228,6
index_229,7
index_230,2
index_231,9
index_232,30
index_233,3
index_234,18
index_235,19
index_236,16
index_237,9
index_238,10
index_239,11
index_240,12
index_241,13
index_242,31
index_243,9
