index,answer
index_0,19
index_1,26
index_2,16
index_3,19
index_4,29
index_5,28
index_6,16
index_7,22
index_8,36
index_9,12
index_10,27
index_11,24
index_12,30
index_13,24
index_14,16
index_15,41
index_16,35
index_17,8
index_18,11
index_19,17
index_20,24
index_21,8
index_22,4
index_23,15
index_24,21
index_25,24
index_26,16
index_27,34
index_28,24
index_29,19
index_30,10
index_31,13
index_32,28
index_33,7
index_34,7
index_35,11
index_36,10
index_37,19
index_38,12
index_39,5
index_40,14
index_41,9
index_42,10
index_43,10
index_44,11
index_45,11
index_46,7
index_47,4
index_48,5
index_49,7
index_50,2
index_51,3
index_52,5
index_53,5
index_54,7
index_55,4
index_56,5
index_57,2
index_58,6
index_59,10
index_60,12
index_61,7
index_62,9
index_63,2
index_64,8
index_65,12
index_66,6
index_67,12
index_68,10
index_69,5
index_70,5
index_71,13
index_72,16
index_73,8
index_74,8
index_75,6
index_76,9
index_77,10
index_78,16
index_79,24
index_80,31
index_81,21
index_82,20
index_83,14
index_84,14
index_85,8
index_86,8
index_87,13
index_88,12
index_89,9
index_90,17
index_91,17
index_92,8
index_93,4
index_94,13
index_95,5
index_96,11
index_97,5
index_98,9
index_99,11
index_100,13
index_101,11
index_102,12
index_103,17
index_104,11
index_105,15
index_106,14
index_107,11
index_108,8
index_109,13
index_110,5
index_111,10
index_112,7
index_113,32
index_114,6
index_115,17
index_116,18
index_117,15
index_118,6
index_119,11
index_120,8
index_121,19
index_122,26
index_123,19
index_124,43
index_125,14
index_126,12
index_127,20
index_128,34
index_129,13
index_130,12
index_131,15
index_132,13
index_133,27
index_134,37
index_135,44
index_136,19
index_137,15
index_138,23
index_139,37
index_140,10
index_141,10
index_142,25
index_143,34
index_144,14
index_145,22
index_146,14
index_147,30
index_148,21
index_149,32
index_150,40
index_151,18
index_152,28
index_153,13
index_154,3
index_155,15
index_156,8
index_157,10
index_158,7
index_159,14
index_160,17
index_161,3
index_162,10
index_163,24
index_164,8
index_165,9
index_166,13
index_167,9
index_168,6
index_169,8
index_170,5
index_171,6
index_172,2
index_173,3
index_174,5
index_175,3
index_176,10
index_177,7
index_178,8
index_179,3
index_180,8
index_181,6
index_182,6
index_183,2
index_184,5
index_185,6
index_186,9
index_187,14
index_188,12
index_189,12
index_190,17
index_191,10
index_192,7
index_193,6
index_194,10
index_195,10
index_196,9
index_197,8
index_198,12
index_199,19
index_200,11
index_201,17
index_202,12
index_203,20
index_204,35
index_205,6
index_206,22
index_207,8
index_208,14
index_209,9
index_210,7
index_211,18
index_212,23
index_213,25
index_214,1
index_215,8
index_216,6
index_217,8
index_218,8
index_219,12
index_220,15
index_221,12
index_222,13
index_223,10
index_224,18
index_225,20
index_226,16
index_227,11
index_228,6
index_229,6
index_230,2
index_231,8
index_232,29
index_233,3
index_234,17
index_235,18
index_236,16
index_237,9
index_238,10
index_239,10
index_240,11
index_241,13
index_242,31
index_243,8
