file_name,transcription
data/train/1.wav,li be e mih kiann lan lan san san long be tsiau tsng
data/train/10.wav,li tsit ma tai tsi na m bian liong tsa ka gua kong
data/train/1000.wav,a nia io a tia sioh io lai io khi a ti a u khun bo
data/train/1001.wav,gua i king bu tshing tsho tsit kiann tai tsi ah to sia li lai guan tau ka gua thong ti
data/train/1002.wav,ti thiok san tshi giam soo hok bu e kueh bing tik gian huat tshut sann tuann sik e ti tiau sai jio tshu li he thong
data/train/1003.wav,gua na e tsiah sue tak pian long tu tioh nua tho hue gua na e tsiah phainn un tak pian sing li long sit pai
data/train/1004.wav,tshin ke kin a jit e lai tsia
data/train/1006.wav,tsha put to si pai lak am kau le pai soo i khi phenn oo kim mng e ping iu ah si beh tshut kok e ping iu tioh khah se li e
data/train/1007.wav,lan m thang ui huan tui lai huan tui tsi iau kuai kuai a thiann tsing hu e ue tsai i bu tsai i pinn
data/train/1008.wav,lin fans kin a jit na bo lai
data/train/1009.wav,tsa boo lang khia su khu ta khah ho khia tua tsiah e e sak be tin tang
data/train/1011.wav,peh pah khang ji phinn gua kau tsing tshik kah ban bah tah tsua
data/train/1012.wav,beh tai pak tshong siann mih
data/train/1013.wav,ke khi ap jip lai lam hai liau au e tsing kiong tsha put to si kin a jit am si ah si bin a tsai e pian tso hong thai
data/train/1014.wav,kha khai si leh thiann ah m tsai iann penn inn kiann e kau kiann be kau
data/train/1015.wav,tsit ma thoo ma tooh lu lai lu tinn m ho tsiah siunn tse
data/train/1016.wav,ho ah lah mai tsha lan koh lai khi khuann iau u khah sui e bo a bu an ne ka kong
data/train/1017.wav,li kiann siann hue lah
data/train/1018.wav,tsioo koo le too honnh ai suan tshit tsap goo pha sian tooh i siong e tui sin the khah ho
data/train/1019.wav,long tsong hing hing tng khi tso sin the kuai sun e loo le
data/train/102.wav,hann
data/train/1020.wav,ti hng hng u thiann tioh kui e hu jin lang tshinnh tshinnh e siann
data/train/1022.wav,tsi goo seh lin long be
data/train/1023.wav,hiah ni hiau
data/train/1025.wav,li beh tsham mi sooh tsin tsing ai sing tshi tsit e a kiam tsiann u e kiam tsiann bo siann kang khuan
data/train/1026.wav,in kong me ni kui ni long be tng khi hua lian
data/train/1028.wav,EhLí pang king ti leh hit ping lah
data/train/1029.wav,a pah e thau mng pun te oo sim sim tsiah bo kui ni suah long peh ah
data/train/103.wav,an ne e hue tshau m tsai siann to gua tse ai tshing sui e tsau gin a leh m koh kua beh kui gueh jit long bo lang lai kau kuan
data/train/1030.wav,tui oh im gak e lang lai kong e hiau puann phi a nooh si kai ki pun e tai tsi
data/train/1031.wav,tsiah e loh e he sinn mia thun tsiah be loh e thau thau a ka inn a tshang leh te a phah sng beh tsah tng khi tshu li tsiah koh tsiah kue bo gua ku tsit tiann inn a koh tsiah kah khang khang khang a
data/train/1034.wav,tse iah he
data/train/1035.wav,a ing khuann i hiah sainn nai khui to tau koo tsiann hoo in tshit tho khah huann hi leh
data/train/1036.wav,tsue kin kue liau an tsuann tsit ma sin the u khah ho bo
data/train/1037.wav,tha looh sang tshiann li tshiu se giah hoo kuan
data/train/1038.wav,to sia honnh
data/train/1039.wav,lian kua e hong huat pah pah khuan u e si ka ti tsit e tsau khi kha la oo khe lian kua
data/train/104.wav,an sng beh su iong po lik e thong ti tsia ma in ui an ne to khah m kann oo peh lai
data/train/1041.wav,li to ka sio tsui to loh khi hu looh thang to hoo tinn an ne to e sai tsim tsit e
data/train/1042.wav,too tshi si tsin hun tsap gua khuann li iau si tioh koh kho lu khuann mai leh
data/train/1043.wav,koh tsau koh tsau li koh tsau
data/train/1044.wav,tsit nia khoo too si gun ma mah tsai senn siong kah i e sann
data/train/1045.wav,kang tai gi ah bian khai tsinn a
